CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0154,1.0,,,,
C0001,,,C0189,1.0,,
C0001,,,,,C0024,1.0
C0002,C0076,1.0,,,,
C0002,,,C0019,1.0,,
C0002,,,,,C0129,1.0
C0003,C0064,1.0,,,,
C0003,,,C0190,1.0,,
C0003,,,,,C0179,1.0
C0004,C0087,1.0,,,,
C0004,,,C0143,1.0,,
C0004,,,,,C0045,1.0
C0005,C0192,1.0,,,,
C0005,,,C0089,1.0,,
C0005,,,,,C0132,1.0
C0006,C0183,1.0,,,,
C0006,,,C0011,1.0,,
C0006,,,,,C0152,1.0
C0007,C0192,1.0,,,,
C0007,,,C0061,1.0,,
C0007,,,,,C0085,1.0
C0008,C0018,1.0,,,,
C0008,,,C0182,1.0,,
C0008,,,,,C0162,1.0
C0009,C0015,0.9997,,,,
C0009,,,C0020,1.0,,
C0009,,,,,C0080,1.0
C0010,C0027,1.0,,,,
C0010,,,C0030,1.0,,
C0010,,,,,C0047,1.0
C0011,C0183,1.0,,,,
C0011,,,C0152,1.0,,
C0011,,,,,C0006,1.0
C0012,C0163,1.0,,,,
C0012,,,C0046,1.0,,
C0012,,,,,C0093,1.0
C0013,C0018,1.0,,,,
C0013,,,C0105,1.0,,
C0013,,,,,C0108,1.0
C0014,C0078,1.0,,,,
C0014,,,C0130,1.0,,
C0014,,,,,C0150,1.0
C0015,C0080,0.9997,,,,
C0015,,,C0020,0.9997,,
C0015,,,,,C0083,1.0
C0016,C0184,1.0,,,,
C0016,,,C0158,1.0,,
C0016,,,,,C0040,1.0
C0017,C0102,1.0,,,,
C0017,,,C0136,1.0,,
C0017,,,,,C0053,1.0
C0018,C0105,1.0,,,,
C0018,,,C0108,1.0,,
C0018,,,,,C0162,1.0
C0019,C0002,1.0,,,,
C0019,,,C0116,1.0,,
C0019,,,,,C0088,1.0
C0020,C0015,0.9997,,,,
C0020,,,C0009,1.0,,
C0020,,,,,C0080,1.0
C0021,C0148,1.0,,,,
C0021,,,C0153,1.0,,
C0021,,,,,C0114,1.0
C0022,C0096,1.0,,,,
C0022,,,C0138,1.0,,
C0022,,,,,C0090,1.0
C0023,C0006,1.0,,,,
C0023,,,C0161,1.0,,
C0023,,,,,C0183,1.0
C0024,C0001,1.0,,,,
C0024,,,C0189,1.0,,
C0024,,,,,C0139,1.0
C0025,C0031,1.0,,,,
C0025,,,C0029,1.0,,
C0025,,,,,C0076,1.0
C0026,C0047,1.0,,,,
C0026,,,C0070,1.0,,
C0026,,,,,C0164,1.0
C0027,C0070,1.0,,,,
C0027,,,C0035,1.0,,
C0027,,,,,C0086,1.0
C0028,C0041,1.0,,,,
C0028,,,C0068,1.0,,
C0028,,,,,C0175,1.0
C0029,C0025,1.0,,,,
C0029,,,C0197,1.0,,
C0029,,,,,C0031,1.0
C0030,C0047,1.0,,,,
C0030,,,C0193,1.0,,
C0030,,,,,C0142,1.0
C0031,C0159,1.0,,,,
C0031,,,C0029,1.0,,
C0031,,,,,C0197,1.0
C0032,C0151,0.9998,,,,
C0032,,,C0110,0.9998,,
C0032,,,,,C0198,0.9999
C0033,C0130,0.9999,,,,
C0033,,,C0150,0.9999,,
C0033,,,,,C0014,0.9999
C0034,C0194,1.0,,,,
C0034,,,C0124,1.0,,
C0034,,,,,C0134,1.0
C0035,C0118,1.0,,,,
C0035,,,C0027,1.0,,
C0035,,,,,C0070,1.0
C0036,C0159,1.0,,,,
C0036,,,C0120,1.0,,
C0036,,,,,C0073,1.0
C0037,C0179,1.0,,,,
C0037,,,C0067,1.0,,
C0037,,,,,C0100,1.0
C0038,C0161,1.0,,,,
C0038,,,C0117,1.0,,
C0038,,,,,C0190,1.0
C0039,C0012,1.0,,,,
C0039,,,C0046,1.0,,
C0039,,,,,C0093,1.0
C0040,C0184,1.0,,,,
C0040,,,C0092,1.0,,
C0040,,,,,C0016,1.0
C0041,C0028,1.0,,,,
C0041,,,C0175,1.0,,
C0041,,,,,C0054,1.0
C0042,C0043,1.0,,,,
C0042,,,C0119,1.0,,
C0042,,,,,C0095,1.0
C0043,C0131,1.0,,,,
C0043,,,C0042,1.0,,
C0043,,,,,C0095,1.0
C0044,C0007,1.0,,,,
C0044,,,C0146,1.0,,
C0044,,,,,C0085,1.0
C0045,C0004,1.0,,,,
C0045,,,C0087,1.0,,
C0045,,,,,C0143,1.0
C0046,C0012,1.0,,,,
C0046,,,C0093,1.0,,
C0046,,,,,C0163,1.0
C0047,C0193,1.0,,,,
C0047,,,C0070,1.0,,
C0047,,,,,C0026,1.0
C0048,C0035,1.0,,,,
C0048,,,C0086,1.0,,
C0048,,,,,C0118,1.0
C0049,C0003,1.0,,,,
C0049,,,C0081,1.0,,
C0049,,,,,C0072,1.0
C0050,C0199,1.0,,,,
C0050,,,C0146,1.0,,
C0050,,,,,C0103,1.0
C0051,C0105,1.0,,,,
C0051,,,C0148,1.0,,
C0051,,,,,C0182,1.0
C0052,C0184,1.0,,,,
C0052,,,C0092,1.0,,
C0052,,,,,C0127,1.0
C0053,C0017,1.0,,,,
C0053,,,C0099,1.0,,
C0053,,,,,C0102,1.0
C0054,C0175,1.0,,,,
C0054,,,C0028,1.0,,
C0054,,,,,C0041,1.0
C0055,C0181,1.0,,,,
C0055,,,C0160,1.0,,
C0055,,,,,C0174,1.0
C0056,C0052,1.0,,,,
C0056,,,C0135,1.0,,
C0056,,,,,C0069,1.0
C0057,C0153,1.0,,,,
C0057,,,C0195,1.0,,
C0057,,,,,C0122,1.0
C0058,C0130,0.9487,,,,
C0058,,,C0078,0.9487,,
C0058,,,,,C0097,1.0
C0059,C0163,1.0,,,,
C0059,,,C0145,1.0,,
C0059,,,,,C0104,1.0
C0060,C0150,0.9998,,,,
C0060,,,C0014,0.9998,,
C0060,,,,,C0033,0.9999
C0061,C0192,1.0,,,,
C0061,,,C0085,1.0,,
C0061,,,,,C0007,1.0
C0062,C0044,1.0,,,,
C0062,,,C0146,1.0,,
C0062,,,,,C0071,1.0
C0063,C0005,1.0,,,,
C0063,,,C0131,1.0,,
C0063,,,,,C0140,1.0
C0064,C0179,1.0,,,,
C0064,,,C0190,1.0,,
C0064,,,,,C0117,1.0
C0065,C0075,1.0,,,,
C0065,,,C0156,1.0,,
C0065,,,,,C0141,1.0
C0066,C0116,1.0,,,,
C0066,,,C0133,1.0,,
C0066,,,,,C0125,1.0
C0067,C0072,1.0,,,,
C0067,,,C0100,1.0,,
C0067,,,,,C0037,1.0
C0068,C0175,1.0,,,,
C0068,,,C0028,1.0,,
C0068,,,,,C0169,1.0
C0069,C0052,1.0,,,,
C0069,,,C0127,1.0,,
C0069,,,,,C0056,1.0
C0070,C0035,1.0,,,,
C0070,,,C0026,1.0,,
C0070,,,,,C0164,1.0
C0071,C0103,1.0,,,,
C0071,,,C0146,1.0,,
C0071,,,,,C0062,1.0
C0072,C0179,1.0,,,,
C0072,,,C0037,1.0,,
C0072,,,,,C0067,1.0
C0073,C0159,1.0,,,,
C0073,,,C0120,1.0,,
C0073,,,,,C0036,1.0
C0074,C0036,1.0,,,,
C0074,,,C0167,1.0,,
C0074,,,,,C0115,1.0
C0075,C0065,1.0,,,,
C0075,,,C0109,1.0,,
C0075,,,,,C0156,1.0
C0076,C0031,1.0,,,,
C0076,,,C0029,1.0,,
C0076,,,,,C0025,1.0
C0077,C0119,0.9996,,,,
C0077,,,C0186,0.9997,,
C0077,,,,,C0123,1.0
C0078,C0014,1.0,,,,
C0078,,,C0150,1.0,,
C0078,,,,,C0130,1.0
C0079,C0196,1.0,,,,
C0079,,,C0107,1.0,,
C0079,,,,,C0187,1.0
C0080,C0015,0.9997,,,,
C0080,,,C0009,1.0,,
C0080,,,,,C0020,1.0
C0081,C0155,1.0,,,,
C0081,,,C0126,1.0,,
C0081,,,,,C0170,1.0
C0082,C0053,1.0,,,,
C0082,,,C0188,1.0,,
C0082,,,,,C0099,1.0
C0083,C0020,0.9996,,,,
C0083,,,C0009,0.9996,,
C0083,,,,,C0015,1.0
C0084,C0173,1.0,,,,
C0084,,,C0145,1.0,,
C0084,,,,,C0039,1.0
C0085,C0044,1.0,,,,
C0085,,,C0061,1.0,,
C0085,,,,,C0007,1.0
C0086,C0048,1.0,,,,
C0086,,,C0035,1.0,,
C0086,,,,,C0027,1.0
C0087,C0045,1.0,,,,
C0087,,,C0188,1.0,,
C0087,,,,,C0143,1.0
C0088,C0133,1.0,,,,
C0088,,,C0019,1.0,,
C0088,,,,,C0116,1.0
C0089,C0061,1.0,,,,
C0089,,,C0132,1.0,,
C0089,,,,,C0192,1.0
C0090,C0195,1.0,,,,
C0090,,,C0057,1.0,,
C0090,,,,,C0022,1.0
C0091,C0004,1.0,,,,
C0091,,,C0113,1.0,,
C0091,,,,,C0136,1.0
C0092,C0040,1.0,,,,
C0092,,,C0184,1.0,,
C0092,,,,,C0127,1.0
C0093,C0163,1.0,,,,
C0093,,,C0012,1.0,,
C0093,,,,,C0046,1.0
C0094,C0071,1.0,,,,
C0094,,,C0007,1.0,,
C0094,,,,,C0062,1.0
C0095,C0119,1.0,,,,
C0095,,,C0042,1.0,,
C0095,,,,,C0043,1.0
C0096,C0171,1.0,,,,
C0096,,,C0200,1.0,,
C0096,,,,,C0138,1.0
C0097,C0014,0.9487,,,,
C0097,,,C0150,0.9487,,
C0097,,,,,C0058,1.0
C0098,C0176,1.0,,,,
C0098,,,C0178,1.0,,
C0098,,,,,C0107,1.0
C0099,C0188,1.0,,,,
C0099,,,C0053,1.0,,
C0099,,,,,C0082,1.0
C0100,C0179,1.0,,,,
C0100,,,C0067,1.0,,
C0100,,,,,C0037,1.0
C0101,C0053,1.0,,,,
C0101,,,C0173,1.0,,
C0101,,,,,C0102,1.0
C0102,C0173,1.0,,,,
C0102,,,C0101,1.0,,
C0102,,,,,C0053,1.0
C0103,C0071,1.0,,,,
C0103,,,C0146,1.0,,
C0103,,,,,C0050,1.0
C0104,C0163,1.0,,,,
C0104,,,C0145,1.0,,
C0104,,,,,C0059,1.0
C0105,C0182,1.0,,,,
C0105,,,C0013,1.0,,
C0105,,,,,C0108,1.0
C0106,C0139,1.0,,,,
C0106,,,C0024,1.0,,
C0106,,,,,C0160,1.0
C0107,C0187,1.0,,,,
C0107,,,C0196,1.0,,
C0107,,,,,C0079,1.0
C0108,C0018,1.0,,,,
C0108,,,C0105,1.0,,
C0108,,,,,C0013,1.0
C0109,C0156,1.0,,,,
C0109,,,C0065,1.0,,
C0109,,,,,C0075,1.0
C0110,C0032,0.9998,,,,
C0110,,,C0151,0.9999,,
C0110,,,,,C0198,1.0
C0111,C0124,1.0,,,,
C0111,,,C0034,1.0,,
C0111,,,,,C0134,1.0
C0112,C0157,1.0,,,,
C0112,,,C0166,1.0,,
C0112,,,,,C0177,1.0
C0113,C0143,1.0,,,,
C0113,,,C0004,1.0,,
C0113,,,,,C0136,1.0
C0114,C0122,1.0,,,,
C0114,,,C0153,1.0,,
C0114,,,,,C0021,1.0
C0115,C0036,1.0,,,,
C0115,,,C0167,1.0,,
C0115,,,,,C0074,1.0
C0116,C0133,1.0,,,,
C0116,,,C0066,1.0,,
C0116,,,,,C0088,1.0
C0117,C0038,1.0,,,,
C0117,,,C0190,1.0,,
C0117,,,,,C0064,1.0
C0118,C0164,1.0,,,,
C0118,,,C0035,1.0,,
C0118,,,,,C0048,1.0
C0119,C0186,1.0,,,,
C0119,,,C0095,1.0,,
C0119,,,,,C0042,1.0
C0120,C0159,1.0,,,,
C0120,,,C0073,1.0,,
C0120,,,,,C0036,1.0
C0121,C0031,1.0,,,,
C0121,,,C0025,1.0,,
C0121,,,,,C0029,1.0
C0122,C0114,1.0,,,,
C0122,,,C0153,1.0,,
C0122,,,,,C0057,1.0
C0123,C0119,0.9996,,,,
C0123,,,C0186,0.9998,,
C0123,,,,,C0077,1.0
C0124,C0134,1.0,,,,
C0124,,,C0138,1.0,,
C0124,,,,,C0200,1.0
C0125,C0112,1.0,,,,
C0125,,,C0066,1.0,,
C0125,,,,,C0133,1.0
C0126,C0194,1.0,,,,
C0126,,,C0170,1.0,,
C0126,,,,,C0155,1.0
C0127,C0052,1.0,,,,
C0127,,,C0184,1.0,,
C0127,,,,,C0092,1.0
C0128,C0009,0.9984,,,,
C0128,,,C0080,0.9984,,
C0128,,,,,C0020,0.9984
C0129,C0019,1.0,,,,
C0129,,,C0002,1.0,,
C0129,,,,,C0185,1.0
C0130,C0014,1.0,,,,
C0130,,,C0150,1.0,,
C0130,,,,,C0078,1.0
C0131,C0063,1.0,,,,
C0131,,,C0095,1.0,,
C0131,,,,,C0043,1.0
C0132,C0005,1.0,,,,
C0132,,,C0192,1.0,,
C0132,,,,,C0089,1.0
C0133,C0112,1.0,,,,
C0133,,,C0066,1.0,,
C0133,,,,,C0125,1.0
C0134,C0111,1.0,,,,
C0134,,,C0124,1.0,,
C0134,,,,,C0034,1.0
C0135,C0069,1.0,,,,
C0135,,,C0191,1.0,,
C0135,,,,,C0056,1.0
C0136,C0004,1.0,,,,
C0136,,,C0017,1.0,,
C0136,,,,,C0113,1.0
C0137,C0142,1.0,,,,
C0137,,,C0178,1.0,,
C0137,,,,,C0193,1.0
C0138,C0200,1.0,,,,
C0138,,,C0022,1.0,,
C0138,,,,,C0096,1.0
C0139,C0106,1.0,,,,
C0139,,,C0154,1.0,,
C0139,,,,,C0024,1.0
C0140,C0005,1.0,,,,
C0140,,,C0131,1.0,,
C0140,,,,,C0063,1.0
C0141,C0075,1.0,,,,
C0141,,,C0156,1.0,,
C0141,,,,,C0065,1.0
C0142,C0098,1.0,,,,
C0142,,,C0137,1.0,,
C0142,,,,,C0030,1.0
C0143,C0188,1.0,,,,
C0143,,,C0045,1.0,,
C0143,,,,,C0087,1.0
C0144,C0074,1.0,,,,
C0144,,,C0167,1.0,,
C0144,,,,,C0199,1.0
C0145,C0173,1.0,,,,
C0145,,,C0059,1.0,,
C0145,,,,,C0104,1.0
C0146,C0050,1.0,,,,
C0146,,,C0044,1.0,,
C0146,,,,,C0103,1.0
C0147,C0174,1.0,,,,
C0147,,,C0011,1.0,,
C0147,,,,,C0181,1.0
C0148,C0051,1.0,,,,
C0148,,,C0114,1.0,,
C0148,,,,,C0021,1.0
C0149,C0200,1.0,,,,
C0149,,,C0171,1.0,,
C0149,,,,,C0194,1.0
C0150,C0014,1.0,,,,
C0150,,,C0078,1.0,,
C0150,,,,,C0130,1.0
C0151,C0032,0.9998,,,,
C0151,,,C0198,0.9999,,
C0151,,,,,C0110,0.9999
C0152,C0168,1.0,,,,
C0152,,,C0011,1.0,,
C0152,,,,,C0006,1.0
C0153,C0021,1.0,,,,
C0153,,,C0122,1.0,,
C0153,,,,,C0114,1.0
C0154,C0001,1.0,,,,
C0154,,,C0024,1.0,,
C0154,,,,,C0139,1.0
C0155,C0149,1.0,,,,
C0155,,,C0194,1.0,,
C0155,,,,,C0126,1.0
C0156,C0141,1.0,,,,
C0156,,,C0065,1.0,,
C0156,,,,,C0075,1.0
C0157,C0177,1.0,,,,
C0157,,,C0166,1.0,,
C0157,,,,,C0112,1.0
C0158,C0040,1.0,,,,
C0158,,,C0177,1.0,,
C0158,,,,,C0016,1.0
C0159,C0120,1.0,,,,
C0159,,,C0031,1.0,,
C0159,,,,,C0197,1.0
C0160,C0106,1.0,,,,
C0160,,,C0055,1.0,,
C0160,,,,,C0174,1.0
C0161,C0038,1.0,,,,
C0161,,,C0183,1.0,,
C0161,,,,,C0023,1.0
C0162,C0105,1.0,,,,
C0162,,,C0108,1.0,,
C0162,,,,,C0018,1.0
C0163,C0059,1.0,,,,
C0163,,,C0104,1.0,,
C0163,,,,,C0046,1.0
C0164,C0035,1.0,,,,
C0164,,,C0070,1.0,,
C0164,,,,,C0026,1.0
C0165,C0141,1.0,,,,
C0165,,,C0109,1.0,,
C0165,,,,,C0065,1.0
C0166,C0157,1.0,,,,
C0166,,,C0177,1.0,,
C0166,,,,,C0112,1.0
C0167,C0199,1.0,,,,
C0167,,,C0115,1.0,,
C0167,,,,,C0074,1.0
